method,task,metric,mean_pct,std_pct,n_seeds,scores_pct
Random,Death,AUPRC,70.63,0.0,1,[70.63]
Random,Stay>7d,AUPRC,79.45,0.0,1,[79.45]
Random,Readmit-3M,AUPRC,30.48,0.0,1,[30.48]
Random,Pheno-6M,AUPRC,26.36,0.0,1,[26.36]
Random,Pheno-12M,AUPRC,25.92,0.0,1,[25.92]
EA,Death,AUPRC,70.63,0.0,1,[70.63]
EA,Stay>7d,AUPRC,82.9,0.0,1,[82.9]
EA,Readmit-3M,AUPRC,32.41,0.0,1,[32.41]
EA,Pheno-6M,AUPRC,26.36,0.0,1,[26.36]
EA,Pheno-12M,AUPRC,25.92,0.0,1,[25.92]
LLM-1shot,Death,AUPRC,77.99,0.0,1,[77.99]
LLM-1shot,Stay>7d,AUPRC,82.51,0.0,1,[82.51]
LLM-1shot,Readmit-3M,AUPRC,31.78,0.0,1,[31.78]
LLM-1shot,Pheno-6M,AUPRC,27.79,0.0,1,[27.79]
LLM-1shot,Pheno-12M,AUPRC,27.69,0.0,1,[27.69]
LLMatic,Death,AUPRC,78.01,0.0,1,[78.01]
LLMatic,Stay>7d,AUPRC,81.92,0.0,1,[81.92]
LLMatic,Readmit-3M,AUPRC,31.78,0.0,1,[31.78]
LLMatic,Pheno-6M,AUPRC,27.77,0.0,1,[27.77]
LLMatic,Pheno-12M,AUPRC,27.69,0.0,1,[27.69]
CoLLM-NAS,Death,AUPRC,73.45,0.0,1,[73.45]
CoLLM-NAS,Stay>7d,AUPRC,82.86,0.0,1,[82.86]
CoLLM-NAS,Readmit-3M,AUPRC,31.79,0.0,1,[31.79]
CoLLM-NAS,Pheno-6M,AUPRC,27.2,0.0,1,[27.2]
CoLLM-NAS,Pheno-12M,AUPRC,26.05,0.0,1,[26.05]
MAS-NAS,Death,AUPRC,80.15,0.0,1,[80.15]
MAS-NAS,Stay>7d,AUPRC,83.59,0.0,1,[83.59]
MAS-NAS,Readmit-3M,AUPRC,31.92,0.0,1,[31.92]
MAS-NAS,Pheno-6M,AUPRC,28.14,0.0,1,[28.14]
MAS-NAS,Pheno-12M,AUPRC,27.76,0.0,1,[27.76]
