method,task,metric,mean_pct,std_pct,n_seeds
Random,Death,Accuracy,81.75,0.0,1
Random,Death,F1,65.75,0.0,1
Random,Death,AUROC,80.43,0.0,1
Random,Death,AUPRC,70.63,0.0,1
Random,Stay>7d,Accuracy,68.9,0.0,1
Random,Stay>7d,F1,62.37,0.0,1
Random,Stay>7d,AUROC,78.51,0.0,1
Random,Stay>7d,AUPRC,79.45,0.0,1
Random,Readmit-3M,Accuracy,82.18,0.0,1
Random,Readmit-3M,F1,0.0,0.0,1
Random,Readmit-3M,AUROC,68.03,0.0,1
Random,Readmit-3M,AUPRC,30.48,0.0,1
Random,Pheno-6M,Accuracy,77.87,0.0,1
Random,Pheno-6M,F1,0.0,0.0,1
Random,Pheno-6M,AUROC,55.15,0.0,1
Random,Pheno-6M,AUPRC,26.36,0.0,1
Random,Pheno-12M,Accuracy,78.29,0.0,1
Random,Pheno-12M,F1,0.0,0.0,1
Random,Pheno-12M,AUROC,55.4,0.0,1
Random,Pheno-12M,AUPRC,25.92,0.0,1
EA,Death,Accuracy,81.8,0.0,1
EA,Death,F1,65.88,0.0,1
EA,Death,AUROC,80.43,0.0,1
EA,Death,AUPRC,70.63,0.0,1
EA,Stay>7d,Accuracy,73.11,0.0,1
EA,Stay>7d,F1,74.25,0.0,1
EA,Stay>7d,AUROC,81.21,0.0,1
EA,Stay>7d,AUPRC,82.9,0.0,1
EA,Readmit-3M,Accuracy,81.92,0.0,1
EA,Readmit-3M,F1,13.6,0.0,1
EA,Readmit-3M,AUROC,69.6,0.0,1
EA,Readmit-3M,AUPRC,32.41,0.0,1
EA,Pheno-6M,Accuracy,77.87,0.0,1
EA,Pheno-6M,F1,0.0,0.0,1
EA,Pheno-6M,AUROC,55.15,0.0,1
EA,Pheno-6M,AUPRC,26.36,0.0,1
EA,Pheno-12M,Accuracy,78.29,0.0,1
EA,Pheno-12M,F1,0.0,0.0,1
EA,Pheno-12M,AUROC,55.4,0.0,1
EA,Pheno-12M,AUPRC,25.92,0.0,1
LLM-1shot,Death,Accuracy,82.68,0.0,1
LLM-1shot,Death,F1,71.77,0.0,1
LLM-1shot,Death,AUROC,87.29,0.0,1
LLM-1shot,Death,AUPRC,77.99,0.0,1
LLM-1shot,Stay>7d,Accuracy,73.02,0.0,1
LLM-1shot,Stay>7d,F1,73.51,0.0,1
LLM-1shot,Stay>7d,AUROC,81.12,0.0,1
LLM-1shot,Stay>7d,AUPRC,82.51,0.0,1
LLM-1shot,Readmit-3M,Accuracy,82.21,0.0,1
LLM-1shot,Readmit-3M,F1,2.51,0.0,1
LLM-1shot,Readmit-3M,AUROC,69.16,0.0,1
LLM-1shot,Readmit-3M,AUPRC,31.78,0.0,1
LLM-1shot,Pheno-6M,Accuracy,77.87,0.0,1
LLM-1shot,Pheno-6M,F1,0.02,0.0,1
LLM-1shot,Pheno-6M,AUROC,57.24,0.0,1
LLM-1shot,Pheno-6M,AUPRC,27.79,0.0,1
LLM-1shot,Pheno-12M,Accuracy,78.43,0.0,1
LLM-1shot,Pheno-12M,F1,3.26,0.0,1
LLM-1shot,Pheno-12M,AUROC,57.65,0.0,1
LLM-1shot,Pheno-12M,AUPRC,27.69,0.0,1
LLMatic,Death,Accuracy,82.76,0.0,1
LLMatic,Death,F1,71.83,0.0,1
LLMatic,Death,AUROC,87.3,0.0,1
LLMatic,Death,AUPRC,78.01,0.0,1
LLMatic,Stay>7d,Accuracy,72.98,0.0,1
LLMatic,Stay>7d,F1,73.23,0.0,1
LLMatic,Stay>7d,AUROC,80.75,0.0,1
LLMatic,Stay>7d,AUPRC,81.92,0.0,1
LLMatic,Readmit-3M,Accuracy,82.21,0.0,1
LLMatic,Readmit-3M,F1,2.51,0.0,1
LLMatic,Readmit-3M,AUROC,69.16,0.0,1
LLMatic,Readmit-3M,AUPRC,31.78,0.0,1
LLMatic,Pheno-6M,Accuracy,77.86,0.0,1
LLMatic,Pheno-6M,F1,1.55,0.0,1
LLMatic,Pheno-6M,AUROC,57.16,0.0,1
LLMatic,Pheno-6M,AUPRC,27.77,0.0,1
LLMatic,Pheno-12M,Accuracy,78.43,0.0,1
LLMatic,Pheno-12M,F1,3.26,0.0,1
LLMatic,Pheno-12M,AUROC,57.65,0.0,1
LLMatic,Pheno-12M,AUPRC,27.69,0.0,1
CoLLM-NAS,Death,Accuracy,82.41,0.0,1
CoLLM-NAS,Death,F1,67.95,0.0,1
CoLLM-NAS,Death,AUROC,82.97,0.0,1
CoLLM-NAS,Death,AUPRC,73.45,0.0,1
CoLLM-NAS,Stay>7d,Accuracy,72.28,0.0,1
CoLLM-NAS,Stay>7d,F1,69.67,0.0,1
CoLLM-NAS,Stay>7d,AUROC,81.29,0.0,1
CoLLM-NAS,Stay>7d,AUPRC,82.86,0.0,1
CoLLM-NAS,Readmit-3M,Accuracy,81.93,0.0,1
CoLLM-NAS,Readmit-3M,F1,12.06,0.0,1
CoLLM-NAS,Readmit-3M,AUROC,68.79,0.0,1
CoLLM-NAS,Readmit-3M,AUPRC,31.79,0.0,1
CoLLM-NAS,Pheno-6M,Accuracy,77.88,0.0,1
CoLLM-NAS,Pheno-6M,F1,0.99,0.0,1
CoLLM-NAS,Pheno-6M,AUROC,56.42,0.0,1
CoLLM-NAS,Pheno-6M,AUPRC,27.2,0.0,1
CoLLM-NAS,Pheno-12M,Accuracy,78.29,0.0,1
CoLLM-NAS,Pheno-12M,F1,0.0,0.0,1
CoLLM-NAS,Pheno-12M,AUROC,55.52,0.0,1
CoLLM-NAS,Pheno-12M,AUPRC,26.05,0.0,1
MAS-NAS,Death,Accuracy,83.94,0.0,1
MAS-NAS,Death,F1,68.82,0.0,1
MAS-NAS,Death,AUROC,89.16,0.0,1
MAS-NAS,Death,AUPRC,80.15,0.0,1
MAS-NAS,Stay>7d,Accuracy,74.38,0.0,1
MAS-NAS,Stay>7d,F1,72.75,0.0,1
MAS-NAS,Stay>7d,AUROC,82.34,0.0,1
MAS-NAS,Stay>7d,AUPRC,83.59,0.0,1
MAS-NAS,Readmit-3M,Accuracy,81.81,0.0,1
MAS-NAS,Readmit-3M,F1,11.99,0.0,1
MAS-NAS,Readmit-3M,AUROC,69.1,0.0,1
MAS-NAS,Readmit-3M,AUPRC,31.92,0.0,1
MAS-NAS,Pheno-6M,Accuracy,77.87,0.0,1
MAS-NAS,Pheno-6M,F1,0.17,0.0,1
MAS-NAS,Pheno-6M,AUROC,57.93,0.0,1
MAS-NAS,Pheno-6M,AUPRC,28.14,0.0,1
MAS-NAS,Pheno-12M,Accuracy,78.4,0.0,1
MAS-NAS,Pheno-12M,F1,3.28,0.0,1
MAS-NAS,Pheno-12M,AUROC,57.99,0.0,1
MAS-NAS,Pheno-12M,AUPRC,27.76,0.0,1
