hospital,task,arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,accuracy,f1,auroc,auprc,label_entropy,positive_ratio
MIMIC-III,death,0,128,1,1,8,1261921,234881536,0.7590637907296925,0.43555411636455826,0.8084180540550524,0.650664275120998,0.8572003354396083,0.2812883435582822
MIMIC-III,death,1,32,4,1,8,316705,612368512,0.7862934067615114,0.5760405660584651,0.7785022639354678,0.6496944216203961,0.8572003354396083,0.2812883435582822
MIMIC-III,death,2,128,4,1,2,1560673,939524608,0.7785936464229258,0.4615003603168457,0.8487870088141719,0.7254204333184279,0.8572003354396083,0.2812883435582822
MIMIC-III,death,3,128,2,4,2,1558881,671089152,0.8080159094385805,0.6103754165634924,0.8518958616492817,0.7341475362289142,0.8572003354396083,0.2812883435582822
MIMIC-III,death,4,32,2,8,1,332897,335544448,0.7675794197134261,0.42042252441682865,0.7726816145087271,0.6449821025289034,0.8572003354396083,0.2812883435582822
MIMIC-III,stay,0,128,1,1,8,1261921,234881536,0.7025138952628627,0.7221162281655994,0.7817055412239217,0.7883596470515313,0.999587009565411,0.48803680981595093
MIMIC-III,stay,1,32,4,1,8,316705,612368512,0.6588649227474377,0.6265514500609621,0.7435784635739301,0.7436294090825418,0.999587009565411,0.48803680981595093
MIMIC-III,stay,2,128,4,1,2,1560673,939524608,0.695884962521034,0.6641019635612636,0.7818514635993973,0.7860983802254943,0.999587009565411,0.48803680981595093
MIMIC-III,stay,3,128,2,4,2,1558881,671089152,0.7098567130691958,0.7255046962210862,0.786504531942316,0.79032403900337,0.999587009565411,0.48803680981595093
MIMIC-III,stay,4,32,2,8,1,332897,335544448,0.6510121870378868,0.6947259840918596,0.7380089290574129,0.7381989587585934,0.999587009565411,0.48803680981595093
MIMIC-III,readmission,0,128,1,1,8,1261921,234881536,0.8214267502932028,0.06530446996274193,0.6864391157669131,0.3188831123471963,0.672775795354003,0.17668711656441718
MIMIC-III,readmission,1,32,4,1,8,316705,612368512,0.8201009637448371,0.05543071161048689,0.6559170663973743,0.2949460749496517,0.672775795354003,0.17668711656441718
MIMIC-III,readmission,2,128,4,1,2,1560673,939524608,0.81989699658355,0.02970646455175288,0.6827624188155189,0.30791987723739483,0.672775795354003,0.17668711656441718
MIMIC-III,readmission,3,128,2,4,2,1558881,671089152,0.8194380704706542,0.08025078191080705,0.6817831185280109,0.3134701095574796,0.672775795354003,0.17668711656441718
MIMIC-III,readmission,4,32,2,8,1,332897,335544448,0.8177553413900363,0.1048783869983637,0.6660833421215501,0.30464574561772867,0.672775795354003,0.17668711656441718
MIMIC-III,next_diag_6m_pheno,0,128,1,1,8,1263985,234881536,0.7787491904894069,0.0,0.5542683725151183,0.2665831566803919,0.6957923521254985,0.21894166310084154
MIMIC-III,next_diag_6m_pheno,1,32,4,1,8,317233,612368512,0.7785487402473247,0.002955724454095789,0.5269262999444178,0.25211268161979833,0.6957923521254985,0.21894166310084154
MIMIC-III,next_diag_6m_pheno,2,128,4,1,2,1562737,939524608,0.7785795787461066,0.004482886608870861,0.5552048200412222,0.2678159164784779,0.6957923521254985,0.21894166310084154
MIMIC-III,next_diag_6m_pheno,3,128,2,4,2,1560945,671089152,0.778209516760724,0.006512552821277654,0.5577171839778934,0.26715292913925714,0.6957923521254985,0.21894166310084154
MIMIC-III,next_diag_6m_pheno,4,32,2,8,1,333425,335544448,0.7787491904894069,0.0,0.5183327467808215,0.24508620679767534,0.6957923521254985,0.21894166310084154
MIMIC-III,next_diag_12m_pheno,0,128,1,1,8,1263985,234881536,0.7829238724362305,0.00012428535918468804,0.5582145913304825,0.25743922260938806,0.6961144138088449,0.21962114786542267
MIMIC-III,next_diag_12m_pheno,1,32,4,1,8,317233,612368512,0.7822682401840718,0.0050920485703094395,0.5495964561279746,0.25723577737267117,0.6961144138088449,0.21962114786542267
MIMIC-III,next_diag_12m_pheno,2,128,4,1,2,1562737,939524608,0.7831712808332713,0.017884970475823745,0.5662116287124225,0.2639572622971923,0.6961144138088449,0.21962114786542267
MIMIC-III,next_diag_12m_pheno,3,128,2,4,2,1560945,671089152,0.7832949850317918,0.007746477645501113,0.5710346849517217,0.26435529557426446,0.6961144138088449,0.21962114786542267
MIMIC-III,next_diag_12m_pheno,4,32,2,8,1,333425,335544448,0.7831960216729755,0.005123143448016544,0.5413701636279612,0.2480293401230096,0.6961144138088449,0.21962114786542267
