hospital,task,arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,accuracy,f1,auroc,auprc,label_entropy,positive_ratio
MIMIC-IV,death,0,128,1,1,8,1200498,234881536,0.9288636265771003,0.40079153711801213,0.8921415291764095,0.5725232481014256,0.4558428737068193,0.09589393744368645
MIMIC-IV,death,1,32,4,1,8,301170,612368512,0.9175171166515955,0.28338576934342535,0.7888503754909116,0.43182177652150494,0.4558428737068193,0.09589393744368645
MIMIC-IV,death,2,128,4,1,2,1499250,939524608,0.9295525987167893,0.45261029906066863,0.8941615018667562,0.5719092189377656,0.4558428737068193,0.09589393744368645
MIMIC-IV,death,3,128,2,4,2,1497458,671089152,0.9294234164405978,0.3762304197607216,0.9008665657525589,0.5828140419558475,0.4558428737068193,0.09589393744368645
MIMIC-IV,death,4,32,2,8,1,317362,335544448,0.9237609266675278,0.3600832977401758,0.8390581887108617,0.475438403502757,0.4558428737068193,0.09589393744368645
MIMIC-IV,stay,0,128,1,1,8,1200498,234881536,0.7605391206993067,0.579892448415161,0.8255000776236624,0.7101300513071734,0.9263549261515411,0.34161410734972325
MIMIC-IV,stay,1,32,4,1,8,301170,612368512,0.7378676312276622,0.5838401797590815,0.7995498624233859,0.6688021894579101,0.9263549261515411,0.34161410734972325
MIMIC-IV,stay,2,128,4,1,2,1499250,939524608,0.7420445248245274,0.542749721986819,0.8120133428304066,0.6854117856626436,0.9263549261515411,0.34161410734972325
MIMIC-IV,stay,3,128,2,4,2,1497458,671089152,0.7427119665848512,0.553569802731846,0.8202365342115213,0.6989556868175888,0.9263549261515411,0.34161410734972325
MIMIC-IV,stay,4,32,2,8,1,317362,335544448,0.7342505274942944,0.5491343921743795,0.7879542397058527,0.6465539111023441,0.9263549261515411,0.34161410734972325
MIMIC-IV,readmission,0,128,1,1,8,1200498,234881536,0.6965077724669508,0.2359479659067014,0.6489650368607277,0.4138407331547725,0.8607759970890196,0.2839490281889561
MIMIC-IV,readmission,1,32,4,1,8,301170,612368512,0.7192438530766911,0.14172144875881346,0.6259748721955183,0.3948398698684652,0.8607759970890196,0.2839490281889561
MIMIC-IV,readmission,2,128,4,1,2,1499250,939524608,0.7209878138052792,0.11502503048033358,0.6405267702907395,0.40550245133104573,0.8607759970890196,0.2839490281889561
MIMIC-IV,readmission,3,128,2,4,2,1497458,671089152,0.722258106187831,0.10652265988987718,0.6445482565891538,0.40791464980701964,0.8607759970890196,0.2839490281889561
MIMIC-IV,readmission,4,32,2,8,1,317362,335544448,0.723700641605305,0.052073284917710516,0.6255241641501303,0.39150294563107363,0.8607759970890196,0.2839490281889561
MIMIC-IV,next_diag_6m_pheno,0,128,1,1,8,1202562,234881536,0.840782899634922,0.14751394080402738,0.6783232811396559,0.3391204350938657,0.6040500938247496,0.17845772904138663
MIMIC-IV,next_diag_6m_pheno,1,32,4,1,8,301698,612368512,0.8250809540468054,0.004270049170053779,0.6325018962222102,0.275558857344867,0.6040500938247496,0.17845772904138663
MIMIC-IV,next_diag_6m_pheno,2,128,4,1,2,1501314,939524608,0.8482414359139959,0.19660760409926492,0.7057722710104125,0.3613047671266773,0.6040500938247496,0.17845772904138663
MIMIC-IV,next_diag_6m_pheno,3,128,2,4,2,1499522,671089152,0.8491429186512742,0.1843863177168047,0.6913469286512209,0.35778198153133106,0.6040500938247496,0.17845772904138663
MIMIC-IV,next_diag_6m_pheno,4,32,2,8,1,317890,335544448,0.825085439035548,0.0012825243373908693,0.6303725015121343,0.2871087627688537,0.6040500938247496,0.17845772904138663
MIMIC-IV,next_diag_12m_pheno,0,128,1,1,8,1202562,234881536,0.8389262482419128,0.18037433745249967,0.6832933654557692,0.345446482901609,0.599804647956296,0.17553515310067952
MIMIC-IV,next_diag_12m_pheno,1,32,4,1,8,301698,612368512,0.8184518577121426,0.009952809894327211,0.6324707648091761,0.2910282049123603,0.599804647956296,0.17553515310067952
MIMIC-IV,next_diag_12m_pheno,2,128,4,1,2,1501314,939524608,0.8472991385372715,0.20387134340910174,0.6984063148734787,0.37086389407463977,0.599804647956296,0.17553515310067952
MIMIC-IV,next_diag_12m_pheno,3,128,2,4,2,1499522,671089152,0.8459439463197375,0.20148092354972227,0.6955157501760393,0.3670899540318355,0.599804647956296,0.17553515310067952
MIMIC-IV,next_diag_12m_pheno,4,32,2,8,1,317890,335544448,0.8175068858415377,0.00021234803843499497,0.6299871536824958,0.29650660673539725,0.599804647956296,0.17553515310067952
