embed_dim,depth,mlp_ratio,num_heads,num_params,flops,val_accuracy,val_f1,val_auroc,val_auprc,hospital,task,avg_rank
64,2,4,2,648434,738197760,0.9144339928640934,0.4119482835488186,0.8091395180609686,0.43193638545837965,MIMIC-IV,death,2.5
64,2,8,2,714482,805306624,0.9165747648394421,0.36774827925270404,0.7885760378461595,0.42025140996821386,MIMIC-IV,death,3.0
64,2,2,4,615410,704643328,0.9126175802789491,0.3400293973542381,0.8192542165950985,0.40709629603833053,MIMIC-IV,death,4.25
64,2,8,4,714482,805306624,0.9154070710347064,0.24361948955916474,0.7977810675241467,0.4150451679671114,MIMIC-IV,death,4.5
64,2,2,8,615410,704643328,0.9133960428154395,0.3321660830415208,0.7995306121752427,0.39998225678682314,MIMIC-IV,death,5.5
64,2,8,8,714482,805306624,0.9078819331819656,0.3672014260249554,0.8160139212688093,0.38439867531532224,MIMIC-IV,death,6.0
64,4,2,4,682354,1409286400,0.9150178397664612,0.24539170506912442,0.7610549598899453,0.4056653340389403,MIMIC-IV,death,6.25
64,4,4,8,748402,1476395264,0.9149529678884204,0.25384177575412636,0.754392269829963,0.38540642374174366,MIMIC-IV,death,7.25
64,2,4,4,648434,738197760,0.9076224456698021,0.0,0.7972777845147644,0.4096306860349012,MIMIC-IV,death,7.5
64,4,2,2,682354,1409286400,0.9119688614985404,0.12845215157353887,0.78850391082068,0.3946323665804138,MIMIC-IV,death,8.25
