task,feature,level,est_mean_shap,ci_lo,ci_hi,n_rows,n_hospitals,model_type
next_diag_6m_pheno,embed_dim,16,-5.861971362500005,-6.13941809092054,-5.58452463407947,8,1,mixedlm
next_diag_6m_pheno,embed_dim,32,-0.21206801833333344,-0.6651366107417789,0.241000574075112,3,1,mixedlm
next_diag_6m_pheno,embed_dim,64,4.0238893,3.672943871842125,4.374834728157874,5,1,mixedlm
next_diag_6m_pheno,embed_dim,128,7.622183175000003,7.229814261220272,8.014552088779732,4,1,mixedlm
next_diag_6m_pheno,depth,1,-0.25797336158999995,-0.47180040570457416,-0.04414631747542577,3,1,mixedlm
next_diag_6m_pheno,depth,2,-0.08536904059999997,-0.250998890031078,0.08026080883107806,5,1,mixedlm
next_diag_6m_pheno,depth,4,-0.748763448,-0.9143932974310781,-0.583133598568922,5,1,mixedlm
next_diag_6m_pheno,depth,8,0.620523272857143,0.4805403882700378,0.7605061574442482,7,1,mixedlm
next_diag_6m_pheno,mlp_ratio,1,5.125726660013909e-16,-0.11763433174040656,0.11763433174040759,8,1,mixedlm
next_diag_6m_pheno,mlp_ratio,2,-1.0734969816250006,-1.538845523362714,-0.6081484398872872,2,1,mixedlm
next_diag_6m_pheno,mlp_ratio,4,-0.42379901879166654,-0.614485484351558,-0.23311255323177502,6,1,mixedlm
next_diag_6m_pheno,mlp_ratio,8,0.5739271733749998,0.2886057538580857,0.8592485928919138,4,1,mixedlm
next_diag_6m_pheno,num_heads,1,0.1283231134999996,-0.01939182888969415,0.2760380558896934,4,1,mixedlm
next_diag_6m_pheno,num_heads,2,0.215291504,0.06757656161030606,0.3630064463896939,4,1,mixedlm
next_diag_6m_pheno,num_heads,4,-0.06999926850000002,-0.21771421088969392,0.07771567388969389,4,1,mixedlm
next_diag_6m_pheno,num_heads,8,-0.16335900712500004,-0.2678094028852458,-0.05890861136475428,8,1,mixedlm
