task,feature,level,est_mean_shap,ci_lo,ci_hi,n_rows,n_hospitals,model_type
stay,embed_dim,32,-0.23896093500000015,-0.3240723422374673,-0.153849527762533,2,1,mixedlm
stay,embed_dim,128,0.23402031000000006,0.16452700533882414,0.303513614661176,3,1,mixedlm
stay,depth,1,0.9563299400000003,0.7665670777709954,1.1460928022290051,1,1,mixedlm
stay,depth,2,0.20811749299999993,0.07393461753384648,0.3423003684661534,2,1,mixedlm
stay,depth,4,-0.6011188000000001,-0.7353016754661535,-0.4669359245338466,2,1,mixedlm
stay,mlp_ratio,1,0.35038743000000017,0.32714365131481804,0.3736312086851823,3,1,mixedlm
stay,mlp_ratio,4,0.40478730000000007,0.36452805779954944,0.4450465422004507,1,1,mixedlm
stay,mlp_ratio,8,-1.3259193000000002,-1.3661785422004509,-1.2856600577995496,1,1,mixedlm
stay,num_heads,1,-0.16097429999999988,-0.1863383367113087,-0.13561026328869105,1,1,mixedlm
stay,num_heads,2,-0.18062247499999998,-0.19855759351463034,-0.1626873564853696,2,1,mixedlm
stay,num_heads,8,0.200245415,0.18231029648536964,0.21818053351463038,2,1,mixedlm
