hospital,embed_dim,depth,mlp_ratio,num_heads,shap_embed_dim,shap_depth,shap_mlp_ratio,shap_num_heads
MIMIC-IV,64,1,1,8,3.9192648,0.70678604,-0.8832658,0.11494323
MIMIC-IV,16,4,1,8,-3.6402166,1.9096227,0.17351305,1.4148121
MIMIC-IV,64,4,1,2,4.7933555,1.6786871,-0.049397584,0.4353175
MIMIC-IV,64,2,4,2,3.3604515,-1.6823211,0.28740495,-0.106164314
MIMIC-IV,16,2,8,1,-4.1828384,0.41262764,0.104857095,-0.72710586
MIMIC-IV,16,8,1,4,-5.4923577,-1.8518671,-0.5833896,-0.9616503
MIMIC-IV,16,8,1,1,-5.5714865,-0.8848398,-0.10357052,-0.33317056
MIMIC-IV,32,2,1,4,-2.281103,-0.55492544,-0.37865445,-0.42842504
MIMIC-IV,128,8,4,8,5.7583566,-0.34596518,0.5705566,-0.123791724
MIMIC-IV,64,1,4,8,4.430047,1.2333162,0.8433836,0.3509285
MIMIC-IV,64,2,1,8,3.1445963,-1.5369455,-0.584303,0.08637351
MIMIC-IV,128,8,8,4,6.646381,-0.24547967,0.32224193,-0.11623633
MIMIC-IV,32,1,1,8,-2.3820977,0.83736396,-0.2223683,0.6262436
MIMIC-IV,32,4,4,4,-2.329388,1.6673518,0.8248114,0.19594589
MIMIC-IV,16,8,8,8,-5.4295263,-1.8724383,-0.74264467,0.15407985
MIMIC-IV,16,4,2,1,-5.7228208,0.62141097,-1.1125516,-2.176483
MIMIC-IV,16,4,4,2,-4.3209996,1.5304216,0.93429327,0.21439075
MIMIC-IV,16,8,4,8,-4.8949027,-1.6996647,0.8046791,0.3963758
MIMIC-IV,128,2,2,2,6.1224694,-0.8039216,0.19559361,0.093356796
MIMIC-IV,128,8,8,1,6.658514,0.014785355,0.058991477,-0.123541385
