hospital,embed_dim,depth,mlp_ratio,num_heads,shap_embed_dim,shap_depth,shap_mlp_ratio,shap_num_heads
MIMIC-IV,64,1,1,8,3.2376015,0.17271498,0.056621227,0.8495409
MIMIC-IV,16,4,1,8,-4.7552323,0.5087307,1.476957,0.585285
MIMIC-IV,64,4,1,2,2.281382,-0.016288375,0.058532197,-0.7579076
MIMIC-IV,64,2,4,2,3.3949685,-0.5133866,-0.13560732,-0.9288914
MIMIC-IV,16,2,8,1,-6.252902,-1.0490861,-0.97847646,-1.1537282
MIMIC-IV,16,8,1,4,-5.0406313,-0.23183599,1.2692038,-0.18181951
MIMIC-IV,16,8,1,1,-4.7474394,0.12790018,1.4150333,-0.48065513
MIMIC-IV,32,2,1,4,-0.69785696,-0.33553836,0.45663464,-0.107290596
MIMIC-IV,128,8,4,8,8.208614,-0.13102476,0.040785864,0.4470536
MIMIC-IV,64,1,4,8,4.2938113,0.1279409,-0.038106035,0.93092346
MIMIC-IV,64,2,1,8,3.1488068,-0.26938167,0.08514465,0.8504675
MIMIC-IV,128,8,8,4,8.149832,-0.04486076,0.059893828,0.1514777
MIMIC-IV,32,1,1,8,-0.32292685,0.396143,0.41061637,0.581592
MIMIC-IV,32,4,4,4,-0.4562796,-0.08321868,-0.30230203,-0.093141854
MIMIC-IV,16,8,8,8,-6.083716,-0.00854326,-0.33267313,0.48910517
MIMIC-IV,16,4,2,1,-6.003407,0.09981063,-1.0150883,-1.0145395
MIMIC-IV,16,4,4,2,-5.875747,0.23575722,-0.972128,-0.074195445
MIMIC-IV,16,8,4,8,-6.3464117,-0.21448882,-0.97686464,0.35583705
MIMIC-IV,128,2,2,2,8.678108,-0.27146262,0.039534897,-0.13118774
MIMIC-IV,128,8,8,1,7.9915714,0.07095934,-0.054143593,-0.942649
