hospital,embed_dim,depth,mlp_ratio,num_heads,shap_embed_dim,shap_depth,shap_mlp_ratio,shap_num_heads
MIMIC-IV,64,1,1,8,1.4508171,1.1298198,-0.43866903,0.22408755
MIMIC-IV,16,4,1,8,-2.6193337,-0.16585025,0.45437896,0.44591853
MIMIC-IV,64,4,1,2,1.0857961,0.28528768,-0.28303432,-0.2241376
MIMIC-IV,64,2,4,2,0.53171253,-1.1519651,0.3432308,-0.6077136
MIMIC-IV,16,2,8,1,-3.1861627,0.864848,-0.025769927,-0.03946788
MIMIC-IV,16,8,1,4,-2.4909236,-0.0123502705,0.5310161,0.5840335
MIMIC-IV,16,8,1,1,-3.5288925,-0.43682587,0.16294703,-1.33154
MIMIC-IV,32,2,1,4,0.5148671,-1.3339744,-0.4390933,-0.12559628
MIMIC-IV,128,8,4,8,2.5881753,-0.28398934,0.40665329,-0.59594446
MIMIC-IV,64,1,4,8,1.9369628,1.4019347,0.7197996,0.30437827
MIMIC-IV,64,2,1,8,0.83148664,-1.0821621,-0.40554547,0.26804498
MIMIC-IV,128,8,8,4,3.1407027,-0.28890008,-0.17692342,-0.81090164
MIMIC-IV,32,1,1,8,1.622518,1.3458713,-0.35397515,0.2475029
MIMIC-IV,32,4,4,4,1.7187382,0.15218696,0.49569795,-0.0025831652
MIMIC-IV,16,8,8,8,-3.7020762,-0.43299547,-1.374405,0.12487332
MIMIC-IV,16,4,2,1,-4.070202,-0.17454897,0.072176345,-0.96334124
MIMIC-IV,16,4,4,2,-3.3691034,-0.138507,0.1554427,0.21628748
MIMIC-IV,16,8,4,8,-3.125895,-0.13333973,0.324009,0.5491288
MIMIC-IV,128,2,2,2,4.187688,-0.29529116,0.59607106,0.37542608
MIMIC-IV,128,8,8,1,4.5386276,-0.36220306,0.2447693,0.6927303
