hospital,embed_dim,depth,mlp_ratio,num_heads,shap_embed_dim,shap_depth,shap_mlp_ratio,shap_num_heads
MIMIC-IV,64,1,1,8,3.3116443,0.38372573,-0.41904703,0.77285194
MIMIC-IV,16,4,1,8,-5.357858,0.50140744,0.08142432,0.3238678
MIMIC-IV,64,4,1,2,2.2500913,-0.29782525,-0.55246896,-0.6017604
MIMIC-IV,64,2,4,2,3.169216,0.15045711,0.28700888,-0.55906004
MIMIC-IV,16,2,8,1,-5.4926257,0.10073922,-0.49295446,-1.0665538
MIMIC-IV,16,8,1,4,-5.3308744,-0.63266695,0.37561926,0.6328179
MIMIC-IV,16,8,1,1,-5.413871,-1.0389501,-0.018037489,-1.4799739
MIMIC-IV,32,2,1,4,0.61063385,0.041244548,0.01939953,-0.12231517
MIMIC-IV,128,8,4,8,7.745797,-0.3827263,0.59374666,0.8402724
MIMIC-IV,64,1,4,8,3.87915,0.43242875,0.391129,0.84434474
MIMIC-IV,64,2,1,8,3.3111644,0.26872277,-0.35714164,0.82321835
MIMIC-IV,128,8,8,4,7.0625825,-0.31529704,-0.21262327,0.26467505
MIMIC-IV,32,1,1,8,1.2731081,0.4710106,-0.09087731,0.6424138
MIMIC-IV,32,4,4,4,0.36571702,-0.0897594,0.1002171,-0.3284166
MIMIC-IV,16,8,8,8,-6.3656883,-0.7002575,-0.278457,0.39059958
MIMIC-IV,16,4,2,1,-4.7984595,1.0336103,0.9950901,-0.68357754
MIMIC-IV,16,4,4,2,-5.324419,0.7836846,-0.11380888,0.20176281
MIMIC-IV,16,8,4,8,-6.604502,-0.9812985,-0.4407461,0.32652304
MIMIC-IV,128,2,2,2,6.8540606,0.08608666,0.8615411,-0.0035681333
MIMIC-IV,128,8,8,1,6.499631,-0.3687023,-0.1440056,-1.9400984
